,ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
0,208892808,0,46097.632962963,1773673888450,balance,IN,0,0,CLIENT,0,0,0,0,50000,0,,Demo Deposit,
1,209298443,262847401,46098.232650463,1773725701735,buy,IN,12345678,262847401,EXPERT,0.83,5023.78,0,0,0,0,XAUUSD,buy,
2,209301692,262852924,46098.238275463,1773726187092,sell,OUT,12345678,262847401,TP,0.83,5028.47,0,0,497.58,0,XAUUSD,[tp 5028.47],
3,209306098,262858139,46098.2445138889,1773726726740,buy,IN,12345678,262858139,EXPERT,0.91,5025.09,0,0,0,0,XAUUSD,buy_stop,
4,209309897,262862837,46098.2503240741,1773727228509,sell,OUT,12345678,262858139,SL,0.91,5020.73,0,0,-507.33,0,XAUUSD,[sl 5020.73],
5,209310788,262863815,46098.2515162037,1773727331891,buy,IN,12345678,262863815,EXPERT,0.87,5023.9,0,0,0,0,XAUUSD,buy_stop,
6,209316596,262870982,46098.2643865741,1773728443028,sell,OUT,12345678,262863815,TP,0.87,5028.39,0,0,499.37,0,XAUUSD,[tp 5028.39],
7,209335235,262892824,46098.2923611111,1773730860207,buy,IN,12345678,262892824,EXPERT,1.07,5027.79,0,0,0,0,XAUUSD,buy_stop,
8,209343669,262904370,46098.3121412037,1773732569060,sell,OUT,12345678,262892824,TP,1.07,5031.48,0,0,505.03,0,XAUUSD,[tp 5031.48],
9,209381515,262949354,46098.368125,1773737406616,buy,IN,12345678,262949354,EXPERT,0.89,5030.03,0,0,0,0,XAUUSD,buy,
10,209383361,262952363,46098.3708796296,1773737644153,sell,OUT,12345678,262949354,SL,0.89,5025.55,0,0,-510.03,0,XAUUSD,[sl 5025.55],
11,209415979,262992064,46098.4078472222,1773740838285,sell,IN,12345678,262992064,EXPERT,0.57,5012.19,0,0,0,0,XAUUSD,sell,
12,209430043,263010693,46098.4381597222,1773743457335,buy,OUT,12345678,262992064,SL,0.57,5019.06,0,0,-500.56,0,XAUUSD,[sl 5019.06],
13,209511655,263117188,46098.5971875,1773757197427,sell,IN,12345678,263117188,EXPERT,0.67,5007.9,0,0,0,0,XAUUSD,sell_stop,
14,209532232,263143888,46098.6390393519,1773760813482,buy,OUT,12345678,263117188,SL,0.67,5013.72,0,0,-498.11,0,XAUUSD,[sl 5013.72],
15,209547242,263162687,46098.6615046296,1773762754765,buy,IN,12345678,263162687,EXPERT,0.8,5012.75,0,0,0,0,XAUUSD,buy_stop,
16,209553152,263170711,46098.6702199074,1773763507610,sell,OUT,12345678,263162687,TP,0.8,5017.58,0,0,493.36,0,XAUUSD,[tp 5017.58],
17,209579825,263186470,46098.7026736111,1773766311693,buy,IN,12345678,263186470,EXPERT,0.75,5016.95,0,0,0,0,XAUUSD,buy,
18,209580551,263205633,46098.7030787037,1773766346152,sell,OUT,12345678,263186470,SL,0.75,5011.76,0,0,-497.02,0,XAUUSD,[sl 5011.76],
19,209589645,263217114,46098.7129166667,1773767196263,buy,IN,12345678,263217114,EXPERT,0.51,5011.75,0,0,0,0,XAUUSD,buy,
20,209604166,263236540,46098.7303240741,1773768700974,sell,OUT,12345678,263217114,SL,0.51,5004.1,0,0,-498.31,0,XAUUSD,[sl 5004.10],
21,209672846,263323361,46098.8036111111,1773775032318,sell,IN,12345678,263323361,EXPERT,0.45,4996.33,0,0,0,0,XAUUSD,sell,
22,209680351,263334914,46098.8122916667,1773775782323,buy,OUT,12345678,263323361,SL,0.45,5004.94,0,0,-494.61,0,XAUUSD,[sl 5004.94],
23,209784987,263488032,46099.1470833333,1773804708845,buy,IN,12345678,263488032,EXPERT,1.25,5003.5,0,0,0,0,XAUUSD,buy_stop,
24,209785822,263489461,46099.1501851852,1773804976626,sell,OUT,12345678,263488032,SL,1.25,5000.47,0,0,-483.5,0,XAUUSD,[sl 5000.47],
25,209812700,263528021,46099.2051273148,1773809723335,buy,IN,12345678,263528021,EXPERT,0.75,4997.38,0,0,0,0,XAUUSD,buy,
26,209818981,263537953,46099.2207523148,1773811073909,sell,OUT,12345678,263528021,TP,0.75,5002.42,0,0,482.61,0,XAUUSD,[tp 5002.42],
27,209842343,263575184,46099.2791087963,1773816115639,sell,IN,12345678,263575184,EXPERT,0.94,4995.51,0,0,0,0,XAUUSD,sell_stop,
28,209844971,263579260,46099.288900463,1773816961628,buy,OUT,12345678,263575184,TP,0.94,4991.47,0,0,484.81,0,XAUUSD,[tp 4991.47],
29,209884055,263643936,46099.3785300926,1773824705735,buy,IN,12345678,263643936,EXPERT,0.75,4999.62,0,0,0,0,XAUUSD,buy_stop,
30,209889897,263651682,46099.3837731481,1773825158232,sell,OUT,12345678,263643936,TP,0.75,5004.73,0,0,489.02,0,XAUUSD,[tp 5004.73],
31,209911872,263683139,46099.4202893519,1773828313573,buy,IN,12345678,263683139,EXPERT,0.87,5012.77,0,0,0,0,XAUUSD,buy,
32,209915241,263687854,46099.4277430556,1773828957766,sell,OUT,12345678,263683139,SL,0.87,5008.33,0,0,-493.08,0,XAUUSD,[sl 5008.33],
33,209930811,263706677,46099.4537847222,1773831207162,buy,IN,12345678,263706677,EXPERT,1.04,4993.29,0,0,0,0,XAUUSD,buy,
34,209937326,263716311,46099.4638194444,1773832074056,sell,OUT,12345678,263706677,SL,1.04,4989.59,0,0,-491.35,0,XAUUSD,[sl 4989.59],
35,209962973,263747668,46099.4963888889,1773834888513,sell,IN,12345678,263747668,EXPERT,0.62,4987.31,0,0,0,0,XAUUSD,sell_stop,
36,209975524,263764673,46099.514525463,1773836455420,buy,OUT,12345678,263747668,SL,0.62,4993.43,0,0,-484.42,0,XAUUSD,[sl 4993.43],
